"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Summary statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v96596660","1.1.1","5635.7","","","","1"
"2012","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v96596661","1.1.2","4855.5","","","","1"
"2012","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v96596662","1.1.3","903.7","","","","1"
"2012","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v96596663","1.1.4","13.8","","","","1"
"2013","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v96596660","1.1.1","5416.1","","","","1"
"2013","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v96596661","1.1.2","4719.0","","","","1"
"2013","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v96596662","1.1.3","861.1","","","","1"
"2013","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v96596663","1.1.4","12.9","","","","1"
"2014","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v96596660","1.1.1","5664.0","","","","1"
"2014","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating expenses","Dollars","81","millions","6","v96596661","1.1.2","4899.0","","","","1"
"2014","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Salaries, wages, commissions and benefits","Dollars","81","millions","6","v96596662","1.1.3","932.9","","","","1"
"2014","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating profit margin","Percent","239","units ","0","v96596663","1.1.4","13.5","","","","1"
"2015","Canada","2016A000011124","Automotive equipment rental and leasing [5321]","Operating revenue","Dollars","81","millions","6","v96596660","1.1.1","5910.7","","","","1"
